masked_acct,Vintage,ChargeOffMOB,BalanceAtDefault,FICOScore,FICOScorePctAvgFICOLast30DaysBookedLoans,NewUsedIndicator,VehicleManufacturerRebate,VehicleValueBlackBook,MoodysGDPReal,FinancedAmt,CashDownPmt,CashDownPmtPctBBVehicleValue,PaymentAmt,PaymentToFinancedAmtRatio,PTILine5,BackendTotalAmt,TotalDownPmt,rate_recovery
0001374cd7856b8999ef0b661d515142,201708,15,9914.12,535,1.0203,0,0,6100,278.59,10397.4502,750,0.123,282.2,0.0271,0.1091,2000,750,0.1856
00060788de8277720911f32a3b355754,201501,27,8484.37,534,0.9808,0,0,11225,819.33,11444.6602,2000,0.1782,278.61,0.0243,0.0529,0,4000,0
000c9915e9eb935ee32c691e2f3efb49,201711,8,14905.78,495,0.9435,1,2000,10700,489.47,15157.8096,1200,0.1121,347.81,0.0229,0.1546,895,1200,0.5889
0031690a89912e70c2abe27684a817dc,201709,15,13260.44,,,0,0,9925,322.1,13874.2998,1000,0.1008,336.55,0.0243,0.0854,2000,1000,0.3246
003847952f99d78e7ce971e49ef2e143,201507,10,20073.82,,,1,0,22850,232.89,20197.1309,14251,0.6237,426.9,0.0211,0.0502,0,14251,0.9667
00494673348b01c70ac9401449190c94,201604,28,21709.32,431,0.8304,0,0,18225,312.45,23230.8594,3500,0.192,581.99,0.0251,0.1032,2459,3500,0.0524
0054747830b47d5aac79ee490ce7e2e5,201603,33,16817.36,508,0.9846,1,2500,13300,540.61,20338.4492,1500,0.1128,452.96,0.0223,0.1325,799,-2500,0.5726
00603efd1cfc4dcede071249cfa529a7,201502,32,11060.06,,,0,0,10025,820.81,13919.1904,1300,0.1297,337.99,0.0243,0.1127,0,1300,0
006a4910a55acafb206811059f60fc49,201504,6,17114.14,,,0,0,14425,827.77,17114.1406,2500,0.1733,421.01,0.0246,0.1619,0,2500,0.6882
0071e99205b2bab6ad71b346f9aba5d6,201501,16,16474.85,555,1.0194,0,0,10775,237.76,16763.1602,1500,0.1392,448.96,0.0268,0.103,2301,1500,0.4578
0077843a779ac0d1a2fb56698dde9ad4,201701,15,19296.11,500,0.9608,0,0,15425,457.57,20566.5996,798,0.0517,463.66,0.0225,0.1717,2694,1798,0.5546
007b78a6aade8abaa4ddb71b9f61b03d,201511,34,27010.24,496,0.9418,1,5000,21300,192.04,31386.5,2000,0.0939,693.88,0.0221,0.0694,2795,2000,0.5837
0085716685a127bf950f11bd47361f3f,201604,25,15829.71,536,1.0373,0,0,14475,852.9,17631.9199,1300,0.0898,407.51,0.0231,0.168,0,1300,0.6225
008c4aecb7fd1176126ebd94e2889cff,201603,24,14284.12,546,1.0583,0,0,10600,228.54,15368.0303,3000,0.283,405.73,0.0264,0.1116,0,3000,0.2951
0099c2a8a920ff36f05c4101d6befd58,201610,26,12689.57,,,0,0,14900,1383.99,15270,1500,0.1007,408.64,0.0268,0.1721,0,1500,0.4602
00a34ae65c69e552a57aac6b0af955af,201503,17,20722.44,,,1,1000,14175,99.54,22577,1500,0.1058,493.11,0.0218,0.0813,795,1500,0.4367
00a9b51f46dace8abbd4383f8edb70cc,201501,41,12786.04,567,1.0423,0,0,11650,1576.43,18122.5,3500,0.3004,485.19,0.0268,0.0989,0,3500,0.2112
00ad5d342a7e06563cc0734cfd7ceaee,201508,28,15368.61,,,1,2000,12700,100.77,18616,1200,0.0945,427.72,0.023,0.1222,795,1200,0.278
00b3bf221a9d390c24e0fe0759d14a09,201512,21,12848.21,465,0.8855,0,0,11025,196.36,13360,1700,0.1542,343.72,0.0257,0.0982,0,1700,0.4596
00bd7e2b2d50e8e63d48965f5f293ce3,201505,26,15947.98,640,1.1731,0,0,14750,300.61,18579.4004,1000,0.0678,400.45,0.0216,0.1282,795,1000,0.2338
00be98392c439bb71f4570d829569ea5,201708,8,22532.65,494,0.9389,0,0,20200,321.6,22532.6504,3970,0.1965,564.5,0.0251,0.1005,629,3970,0.4474
00c3aa7614a0405570b0265237734573,201603,11,17708.69,,,0,0,12775,578.57,17896.6895,1500,0.1174,418.84,0.0234,0.0952,2000,1500,0.5364
00d413080aa9b2d1e5c71f58030e26df,201502,13,17344.92,,,0,0,13500,296.01,17612,2500,0.1852,435.85,0.0247,0.1136,0,2500,0.6059
00dd9211d5dd95ab6471982b8104153b,201709,15,12412.74,,,0,0,10475,192.86,13138.4404,0,0,327.12,0.0249,0.1421,895,3800,0.0554
00e2e2f44c41061b6ded06d83859a368,201502,30,15462.56,536,0.9918,0,0,12000,436.27,17549.8594,3300,0.275,461.45,0.0263,0.1629,2795,3400,0.3218
00eddd51d95c5128c25b1b84408a5017,201607,28,13545.22,509,0.9737,0,0,11300,472.73,15524,1000,0.0885,341.03,0.022,0.0407,530,1000,0.5184
00f024bf27176bb37a875c7025e8f83b,201602,11,12963.63,518,0.9954,0,0,9750,1596.74,13301.21,0,0,341.27,0.0257,0.1138,661.92,1500,0.597
010352566ed579282350385eb7ad239f,201512,34,10171.82,,,1,900,9650,283.28,14252.5898,1000,0.1036,315.08,0.0221,0.137,1067,1000,0.6319
012199f42a68485ff01fbf5eaeb3ae48,201609,5,15222.75,497,0.9493,0,0,12225,1383.73,15222.75,500,0.0409,399.61,0.0263,0.1218,2000,4950,0.6707
01268a7cd76ea3c212e14e9877ab08a8,201607,14,13173.85,473,0.9008,1,1000,10350,472.73,13965.6699,1476,0.1426,320.91,0.023,0.0764,800,1476,0.6372
0131f70f44f6f9c91b34651b6cb4ee98,201605,4,11514.2,460,0.8782,0,0,7200,539.31,11514.2002,1100,0.1528,336.27,0.0292,0.177,1975,1100,0.607
0137e88b2f61e84fc87e276708c09569,201607,10,12795.37,,,0,0,11000,586.06,12819.1201,2000,0.1818,313.29,0.0244,0.1349,0,2000,0.567
0142440827789ff78566706d3b66e8c9,201703,5,18851.4,519,1.0032,1,2000,12375,191.96,18851.4004,1600,0.1293,489.38,0.026,0.1703,0,1600,0.6311
01492cdf85ecd60757bcfee9934929c9,201608,6,20263.6,,,1,2000,13050,291.3,20263.5996,1725,0.1322,483.36,0.0239,0.1511,800,1725,0.033
0154b64ba02f6c3febca7794143e3365,201611,11,26602.84,,,1,1750,17325,466.38,26887,1200,0.0693,598.33,0.0223,0.0451,2895,1200,0.622
0155fe0131fde8bb4990552ffad30fa5,201703,15,18448.73,532,1.0299,1,4000,15500,230.51,19617.3008,2000,0.129,408.2,0.0208,0.1166,600,2000,0.5529
0156a001b6e51a83b18e822bef76b1e0,201503,14,15384.59,,,0,0,11350,823.4,15929.54,2500,0.2203,368.13,0.0231,0.0884,795,2500,0.6908
015cda35336e838691f8baf0cc1703b3,201604,12,12771.24,,,0,0,8600,228.6,13412.2402,2000,0.2326,325.83,0.0243,0.0738,2000,2000,0.4479
0186b0d2748db94a3baf1b2414cf9121,201604,30,10681.22,514,0.9906,0,0,9025,1595.24,13048.1201,500,0.0554,315.16,0.0242,0.1576,0,1500,0.2902
018a6cfc379d13838c76c43a38d6cc57,201803,7,16146.48,476,0.9092,0,0,11150,194.87,16184,1500,0.1345,400.52,0.0247,0.0772,2895,1500,0.7405
018cd57c11844b92573048b33f634ac3,201508,28,9325.2,555,1.0208,0,0,8800,195.68,12599,0,0,306.11,0.0243,0.0979,2000,1500,0.4352
01939c051424074d1f46e45cb54c5e36,201509,26,14426.74,,,1,1400,13050,843.58,17825.8809,1500,0.1149,376.78,0.0211,0.0766,800,1500,0.6141
019d7acbe52d50ef8fe1426143f617be,201511,9,13101.14,541,1.027,0,0,8250,484.02,13343,1300,0.1576,399.5,0.0299,0.1598,0,1300,0
01a619a19fb2ffcbccf3dea6e833bfec,201705,9,14262.78,453,0.8646,0,0,10100,541.02,14371.9297,1000,0.099,425.96,0.0296,0.0945,895,2000,0.6661
01a73be5f9b7ead8425602326d96aa64,201608,25,15370.59,520,0.9916,0,0,10275,871.41,15672.9805,1500,0.146,414.93,0.0265,0.0787,850,1500,0.3462
01ac9da5b8da10841a35c5327942dcba,201606,17,16305.05,566,1.0846,0,0,10900,288.34,16649.9199,1221,0.112,429.77,0.0258,0.152,1947,1221,0.4528
01ae8751715f021e620a5615a1f1c8df,201504,22,11780.63,,,0,0,9375,235.21,13615.75,4000,0.4267,343.64,0.0252,0.1003,795,4000,0.3064
01b82662cc286b818c3d58d5e8d58473,201607,18,17947.53,545,1.0382,1,2000,12250,746.94,18813,1900,0.1551,459.93,0.0244,0.1877,685,1900,0.174
01cc3888c03a1dc2bf8f9ae7f7d4049c,201605,24,11236.19,,,0,0,8325,69.1,12522.5596,230,0.0276,316.75,0.0253,0.1228,2667,1885.18,0.3523
01cd501ff115e458c31212e80470976f,201503,42,7691.71,589,1.0904,0,0,7600,112.55,11113.9297,1000,0.1316,292.77,0.0263,0.139,0,2500,0
01da69a45347cb591078ec71a8918daa,201611,11,18426.03,442,0.845,0,0,14100,68.19,19024.5,1500,0.1064,562.66,0.0296,0.1677,2600,1500,0.4872
01dd3fbae0e2702ffa6708775529a440,201608,19,14134.79,540,1.0307,0,0,11675,307.95,15300,1090,0.0934,394.72,0.0258,0.1518,700,1090,0.4829
01e25efa3b891505179b12226558cc1e,201509,5,18366.24,,,1,1250,8900,1601.16,18366.2402,0,0,421.99,0.023,0.1055,2500,1000,0.5543
01e9d25c9e33cc1c4da77268c0e8bdca,201609,16,16287.85,,,0,0,13075,119.16,17405.25,2000,0.153,405.01,0.0233,0.1033,2267,2000,0.6155
01eb2078b54cfb141c84121ecc187090,201612,7,17784.98,,,1,1000,13175,1386.76,17784.9805,2100,0.1594,400.99,0.0225,0.0768,0,2100,0.7346
01f967979be0389a0ec2b5982d229a7f,201705,17,19229.14,,,0,0,14650,1632.95,20438.4395,2500,0.1706,450.76,0.0221,0.1067,2850,2500,0.5847
02175a23620789f9b84dbdb9bfc5dc58,201612,8,15512.2,521,1.0023,0,0,9075,276.52,15697.5,2500,0.2755,378.51,0.0241,0.1506,1624,2500,0.6282
022746d6d48a66882b5b3a8fc9c4dddb,201511,36,18830.02,559,1.0558,1,2000,14250,311.2,23976.1602,500,0.0351,505.75,0.0211,0.1283,2500,1000,0.4387
022c363430f1e3f3c2c4856001731d9f,201508,38,12188.45,524,0.9621,0,0,11200,483.66,14828.5,1000,0.0893,376.99,0.0254,0.1047,795,1000,0
0231cda59ebebed70175274a43efaf12,201512,4,21042.47,487,0.9253,0,0,16675,1601.96,21042.4707,0,0,559.06,0.0266,0.141,2900,7000,0.7831
023428a06d6786e1751b575b67f261dc,201501,15,14389.89,,,0,0,10325,70.49,15701.7002,635,0.0615,374.64,0.0239,0.1452,2395,635,0.5428
023e7c23dc240399ca794e4fdc314566,201607,15,18680.54,490,0.9335,1,3684,11325,1597.84,20753.7891,1061,0.0937,461.5,0.0222,0.103,2795,1061,0.5809
024e0a42c5d99160027507eeafa319aa,201503,34,11825.98,,,0,0,13275,437.5,15326.4404,1500,0.113,347.72,0.0227,0.0731,795,1500,0.7339
025aafe1292a74593c4f4ed6aa86aea3,201611,5,21793.83,506,0.9695,1,1000,14825,91.25,21793.8301,2500,0.1686,485,0.0223,0.1777,1250,2500,0.5672
025de82a175f3b45cd219265fe443929,201508,35,16268.63,558,1.0259,1,1500,12750,190.72,20257,1000,0.0784,450.69,0.0222,0.155,2795,1000,0.2469
02612b1b0296a7fce08ffc6064c1d63b,201508,17,16421.32,,,1,400,10450,1591.25,17540.0098,1275,0.122,403,0.023,0.1156,1500,1275,0.0609
026e1089b9b931c045398991cf3338ea,201510,11,10968.98,537,0.9953,0,0,7300,197.89,11454,1000,0.137,262.18,0.0229,0.0709,795,1000,0.0526
027caca97f5233fb61b3a786c22b67d5,201706,4,14830.32,515,0.9795,0,0,10675,324.87,14830.3203,2000,0.1874,355.82,0.024,0.0539,1989,2000,0.7398
0285f1d0d4748f816fd5f06ce9e1498c,201604,20,17248.26,498,0.9598,1,1000,10850,101.07,18177.25,1425,0.1313,417.44,0.023,0.1502,500,1425,0.4043
029230e95dc1291f94ff6ab085222744,201502,19,11880.71,586,1.0823,0,0,10200,296.01,13379.6602,1000,0.098,352.56,0.0264,0.1679,0,2001,0.4634
02aab5f195530733737064f03bbd8194,201503,36,12377.19,543,1.0052,0,0,12475,678.32,16286.7803,1000,0.0802,362.33,0.0222,0.1225,795,1600,0.6511
02b1235df63e6a61f9dbd6248838da73,201608,17,9103.93,502,0.9574,0,0,7525,190.87,9982.6396,500,0.0664,279.41,0.028,0.1199,795,1850,0.1054
